coefficient_name,value,constrain
coef_mode_logsum,0.6839,F
coef_escort_dist_0_2,-0.6997,F
coef_eatout_dist_0_2,-0.5609000000000002,F
coef_eatout_social_0_2,-0.5202,F
#coef_eatout_dist_0_2,-0.7841,F
coef_othdiscr_dist_0_2,-0.8671,F
coef_escort_dist_2_5,-0.5655000000000001,F
coef_shopping_dist_2_5,-0.5409999999999999,F
coef_eatout_dist_2_5,-0.6055000000000001,F
coef_othmaint_dist_2_5,-0.34850000000000003,F
coef_social_dist_2_5,-0.49550000000000005,F
coef_othdiscr_dist_2_5,-0.2137,F
coef_escort_dist_5_plus,-0.18377,F
coef_shopping_dist_5_plus,-0.0717000000000001,F
coef_eatout_dist_5_plus,-0.01869999999999994,F
coef_othmaint_dist_5_plus,-0.04800000000000004,F
coef_social_dist_5_plus,-0.18655,F
coef_othdiscr_dist_5_plus,-0.13544,F


