coefficient_name,value,constrain
coef_UNAVAILABLE,-999.0,T
coef_one,1,T
coef_mode_choice_logsum,1.999,F
coef_distance_joint,-0.21300000000000008,F
coef_util_distance_work_outbound,-0.05030000000000001,F
coef_util_distance_work_inbound,-0.0696699999999999,F
coef_util_distance_univ,-0.11220000000000008,F
coef_util_distance_school,-0.09230000000000005,F
coef_util_distance_escort,-0.10732999999999993,F
coef_util_distance_shopping,-0.10289999999999999,F
coef_util_distance_eatout,-0.09620000000000006,F
coef_util_distance_othmaint,-0.13290000000000002,F
coef_util_distance_social,-0.19399999999999995,F
coef_util_distance_othdiscr,-0.12233459700000004,F
coef_util_distance_atwork,-0.3799999999999999,F
coef_prox_home_outbound_work,-0.4147999999999996,F
coef_prox_home_inbound_work,-0.5425000000000004,F
coef_prox_dest_outbound_work,-0.1459999999999999,F
